id,name,slug,uic,uic8_sncf,latitude,longitude,parent_station_id,country,time_zone,is_city,is_main_station,is_airport,cp_id
429,Fuseta,fuseta,9473205,,37.06037206,-7.751989452,10.0,PT,Europe/Lisbon,False,False,False,94_73205
430,Livramento,livramento,9473239,,37.07372176,-7.731281683,10.0,PT,Europe/Lisbon,False,False,False,94_73239
431,Luz,luz,9473262,,37.08885645,-7.699991761,10.0,PT,Europe/Lisbon,False,False,False,94_73262
432,Tavira,tavira,9473320,,37.12097616,-7.655740933,10.0,PT,Europe/Lisbon,False,False,False,94_73320
433,Porta Nova,porta-nova,9473338,,37.1331446,-7.648062253,10.0,PT,Europe/Lisbon,False,False,False,94_73338
434,Conceicao,conceicao,9473379,,37.14435319,-7.605589347,10.0,PT,Europe/Lisbon,False,False,False,94_73379
435,Cacela,cacela,9473452,,37.17638559,-7.538112559,10.0,PT,Europe/Lisbon,False,False,False,94_73452
436,Castro Marim,castro-marim,9473502,,37.19677365,-7.483877672,10.0,PT,Europe/Lisbon,False,False,False,94_73502
437,Monte Gordo,monte-gordo,9473544,,37.19006739,-7.448361211,10.0,PT,Europe/Lisbon,False,False,False,94_73544
438,Vila Real de Santo Antonio,vila-real-de-santo-antonio,9473569,,37.19977913,-7.421434762,10.0,PT,Europe/Lisbon,False,False,False,94_73569
439,Casa Branca,casa-branca,9474005,,38.49815701,-8.158242657,8.0,PT,Europe/Lisbon,False,False,False,94_74005
440,Alcacovas,alcacovas,9474120,,38.40693213,-8.095506879,8.0,PT,Europe/Lisbon,False,False,False,94_74120
441,Vila Nova da Baronia,vila-nova-da-baronia,9474278,,38.29380866,-8.035095637,8.0,PT,Europe/Lisbon,False,False,False,94_74278
442,Alvito,alvito,9474351,,38.23271711,-8.000018212,2.0,PT,Europe/Lisbon,False,False,False,94_74351
443,Cuba,cuba,9474476,,38.16312237,-7.894801531,2.0,PT,Europe/Lisbon,False,False,False,94_74476
444,Beja,beja,9475002,,38.01836885,-7.858457032,2.0,PT,Europe/Lisbon,False,False,False,94_75002
445,Funcheira,funcheira,9477008,,37.72718383,-8.33801876,2.0,PT,Europe/Lisbon,False,False,False,94_77008
446,Amoreiras - Odemira,amoreiras-odemira,9477099,,37.68997342,-8.414384594,2.0,PT,Europe/Lisbon,False,False,False,94_77099
447,Santa Clara - Saboia,santa-clara-saboia,9477388,,37.49583203,-8.481406871,2.0,PT,Europe/Lisbon,False,False,False,94_77388
448,Messines - Alte,messines-alte,9477735,,37.25535852,-8.290538876,10.0,PT,Europe/Lisbon,False,False,False,94_77735
449,Tunes,tunes,9478006,,37.16496931,-8.25640695,10.0,PT,Europe/Lisbon,False,False,False,94_78006
450,Albufeira - Ferreiras,albufeira-ferreiras,9478063,,37.12874333,-8.233109604,10.0,PT,Europe/Lisbon,False,False,False,94_78063
451,Boliqueime,boliqueime,9478147,,37.12274453,-8.15266638,10.0,PT,Europe/Lisbon,False,False,False,94_78147
452,Loule,loule,9478238,,37.10436571,-8.058349141,10.0,PT,Europe/Lisbon,False,False,False,94_78238
453,Almancil,almancil,9478253,,37.09522521,-8.023407196,10.0,PT,Europe/Lisbon,False,False,False,94_78253
454,Parque das Cidades,parque-das-cidades,9478295,,37.08020001,-7.984857961,10.0,PT,Europe/Lisbon,False,False,False,94_78295
455,Evora,evora,9483006,,38.56047441,-7.907218687,8.0,PT,Europe/Lisbon,False,False,False,94_83006
456,Algoz,algoz,9490050,,37.16783113,-8.302920419,10.0,PT,Europe/Lisbon,False,False,False,94_90050
457,Alcantarilha,alcantarilha,9490092,,37.16988788,-8.348648119,10.0,PT,Europe/Lisbon,False,False,False,94_90092
458,Poco Barreto,poco-barreto,9490134,,37.16361195,-8.388783179,10.0,PT,Europe/Lisbon,False,False,False,94_90134
459,Silves,silves,9490183,,37.17564638,-8.440488202,10.0,PT,Europe/Lisbon,False,False,False,94_90183
460,Estombar - Lagoa,estombar-lagoa,9490241,,37.14342467,-8.485488419,10.0,PT,Europe/Lisbon,False,False,False,94_90241
461,Ferragudo,ferragudo,9490274,,37.13877197,-8.519048102,10.0,PT,Europe/Lisbon,False,False,False,94_90274
462,Portimao,portimao,9490290,,37.14465561,-8.537442432,10.0,PT,Europe/Lisbon,False,False,False,94_90290
463,Mexilhoeira Grande,mexilhoeira-grande,9490381,,37.15415439,-8.609644443,10.0,PT,Europe/Lisbon,False,False,False,94_90381
464,Meia Praia,meia-praia,9490431,,37.11860958,-8.647453865,10.0,PT,Europe/Lisbon,False,False,False,94_90431
465,Lagos,lagos,9490464,,37.10852991,-8.671593269,10.0,PT,Europe/Lisbon,False,False,False,94_90464
466,Praias do Sado-A,praias-do-sado-a,9491058,,38.51795617,-8.838120473,18.0,PT,Europe/Lisbon,False,False,False,94_91058
467,Grandola,grandola,9492577,,38.18164376,-8.554592687,18.0,PT,Europe/Lisbon,False,False,False,94_92577
468,Ermidas - Sado,ermidas-sado,9493005,,38.0027769,-8.413922912,18.0,PT,Europe/Lisbon,False,False,False,94_93005
469,Barreiro,barreiro,9495000,,38.65248536,-9.079438371,18.0,PT,Europe/Lisbon,False,False,False,94_95000
470,Barreiro-A,barreiro-a,9495026,,38.65976812,-9.071588362,18.0,PT,Europe/Lisbon,False,False,False,94_95026
471,Lavradio,lavradio,9495042,,38.66182209,-9.058282417,18.0,PT,Europe/Lisbon,False,False,False,94_95042
472,Baixa da Banheira,baixa-da-banheira,9495059,,38.65956434,-9.044295693,18.0,PT,Europe/Lisbon,False,False,False,94_95059
473,Alhos Vedros,alhos-vedros,9495075,,38.65183875,-9.026695914,18.0,PT,Europe/Lisbon,False,False,False,94_95075
474,Moita,moita,9495109,,38.64476453,-8.996018397,18.0,PT,Europe/Lisbon,False,False,False,94_95109
475,Penteado,penteado,9495125,,38.63814272,-8.956170784,18.0,PT,Europe/Lisbon,False,False,False,94_95125
476,Badajoz,badajoz,7137606,,38.890867,-6.981822,9.0,ES,Europe/Madrid,False,False,False,71_37606
